候選最佳原創電影歌曲,,電影,出片日期
哪裡只塞駿業里,試映劇場《哪裡只塞駿業里》｜試當真,哪裡只塞駿業里,2020年12月3日
外賣修澧賢,【Dear Jane x 試當真】《外賣修澧賢》,外賣修澧賢,2020年12月16日
我屋企喺你隔離,試音片《隔離屋有間隔離屋》｜試當真,隔離屋有間隔離屋,2020年12月22日
剪接煩惱師,試映劇場《剪接煩惱師》｜試當真,剪接煩惱師,2021年3月11日
跌嘢唔好搵,試映劇場《跌嘢唔好搵》｜試當真,跌嘢唔好搵,2021年4月26日
係咁先啦,試映劇場《係咁先啦》｜試當真,係咁先啦,2021年7月29日
Maybe Someday,試映劇場《Maybe Someday 搵日啦》張蔓莎作品｜試當真,Maybe Someday 搵日啦,2021年10月21日
Black Mirror,試映劇場《黑鏡Black Mirror》｜試當真,黑鏡 Black Mirror,2021年11月22日
雪不完的浪漫,試乜都得《雪不完的浪漫》MV - Jessica Chan & Gareth.T｜試當真,雪不完的浪漫,2021年12月3日
葵興森林,試映劇場《葵興森林》｜試當真,葵興森林,2022年1月20日
Not Too Close,試映劇場《Not Too Close》｜試當真,Not Too Close,2022年5月20日
重炮豪,試乜都得《重炮豪Official MV＋PV》｜試當真,重炮豪,2022年7月22日
廢柴廢柴,試動畫《廢柴火龍傳EP3：攞經驗Feat. 明日戰記》｜試當真- YouTube,廢柴火龍傳EP3：攞經驗 Feat. 明日戰記,2022年8月31日
豪Gor of War之決戰豬文黃昏,試映劇場《戰神特約：豪Gor of War之決戰豬文黃昏》｜試當真- YouTube,戰神特約：豪Gor of War之決戰豬文黃昏,2022年11月28日
Christmas Gift,試音片《Christmas Gift》｜試當真,Christmas Gift,2022年12月23日
阿發加冰Magic㗎,試映劇場《凍飲的背叛》｜試當真,凍飲的背叛,2023年4月10日
GET WILD,編劇試當真《GET WILD豪哥管家忻》,GET WILD豪哥管家忻,2023年4月17日
橋橋,試映劇場《橋橋》｜試當真,橋橋,2023年4月25日
超級勁爆叱咤風雲金曲,試映劇場《超級勁爆叱咤風雲金曲》｜試當真,超級勁爆叱咤風雲金曲,2023年6月13日
二泊三日,N9《二泊三日》Official Music Video（出演：絵麗奈）,二泊三日,2023年7月4日
牙痛文學,N9《牙痛文學》Official Music Video,牙痛文學,2023年9月4日
香港夜躝街,試映劇場《香港夜躝街》｜少理阿爸｜改歌｜試當真,香港夜躝街,2023年9月25日
OK啦喎,試映劇場《OK啦喎》Official MV｜試當真,OK啦喎,2023年12月7日
再見傑克,N9《再見傑克》Official MV + Bonus track,再見傑克,2024年4月30日
5**,《5**》（《公開試當真》電影主題曲）,公開試當真,2024年7月2日
再會,試映劇場《上嚟睇貓》｜試當真,上嚟睇貓,2025年6月2日