候選最佳廣告片,,導演,出片日期
2020年,,,
外賣修澧賢,試映劇場《外賣修澧賢》｜試當真,游學修,2020年12月16日
,,,
2021年,,,
伽藍特約：個世界唔應該係咁,試映劇場《伽藍特約：個世界唔應該係咁》｜試當真,許賢	,2021年2月4日
Mox Bank特約：寫實的天能 II ,《Mox Bank特約：寫實的天能II 》｜試當真,盧嘉誼,2021年2月10日
Canon特約：教父II,試映劇場《Canon特約：教父II》｜試當真,許賢,2021年2月24日
Now TV特約：歐國賢,試映劇場《Now TV特約：歐國賢》｜試當真,蘇致豪,2021年3月4日
試玩毛EP01《戶戶送特約：戶戶送家家走》,試玩毛EP01《戶戶送特約,梁焯霖,2021年3月17日
adidas特約：與幸褔距離36公里,試映劇場《adidas特約：與幸褔距離36公里》｜試當真- YouTube,游學修,2021年3月18日
YouTube特約：《與台灣YouTuber泱泱LYNN文化交流》,YouTube特約：《與台灣YouTuber泱泱LYNN文化交流》｜試當真#CreatorSpotlightHK,蘇致豪,2021年3月24日
永明金融特約：如果我三十歲時還未PLAN退休,試映劇場《永明金融特約：如果我三十歲時還未PLAN退休》｜試當真,許賢	,2021年3月29日
DBS特約：十八同人,《DBS特約：十八同人》｜試當真,盧嘉誼,2021年4月2日
新笑傲江湖M特約：殺手豪2,《新笑傲江湖M特約：殺手豪2》｜試當真,蘇致豪,2021年4月6日
古惑狼特約：手掣囝囝,《古惑狼特約：手掣囝囝》｜試當真,盧嘉誼,2021年4月16日
Cigna信諾特約：表妹，你好嘢！,試映劇場《Cigna信諾特約：表妹，你好嘢！》｜試當真- YouTube,"盧嘉誼
蘇致豪",2021年4月22日
WeLend 特約：觸不到的他,《WeLend 特約：觸不到的他》｜試當真,林家熙,2021年4月27日
「可口可樂」特約：餐廳需要客,／,游學修,2021年5月10日
OXY特約：試當真便服日,試映劇場《OXY特約：試當真便服日》,游學修,2021年5月17日
LG OLED低藍光特約：先斬後奏,試映劇場《LG OLED低藍光特約：先斬後奏》｜試當真- YouTube,蘇致豪,2021年5月27日
「藍妹啤酒」特約：開心大關注,試映劇場《「藍妹啤酒」特約：開心大關注》︳試當真,游學修,2021年6月7日
IF特約：IF我是拳王,試映劇場《IF特約：IF我是拳王》｜試當真,許賢,2021年6月17日
Tap & Go Mastercard 特約：80樓C座之精明消費券,試映劇場《Tap & Go Mastercard 特約：80樓C座之精明消費券》｜試當真,游學修,2021年7月3日
試玩毛EP03《戶戶送特約：連環殺人事件》,試玩毛EP03《戶戶送特約：連環殺人事件》| 試當真,梁焯霖,2021年7月8日
試映劇場《AEON信用卡特約：忍界．大學傳》｜ (試玩毛《忍界大戰》前傳),試映劇場《AEON信用卡特約：忍界．大學傳》｜ (試玩毛《忍界大戰》前傳)｜試當真,許賢,2021年8月30日
PS1-PS5特約：打機對你來說是甚麼？,試映劇場《PS1-PS5特約：打機對你來說是甚麼？》｜試當真,盧嘉誼,2021年9月27日
CASETiFY特約：遇見你之後世界末日，點搞？,試映劇場《CASETiFY特約：遇見你之後世界末日，點搞？》 ｜試當真- YouTube,許賢,2021年10月14日
日本50惠男士特約：不良煩老師,試映劇場《日本50惠男士特約：不良煩老師》｜試當真,盧嘉誼,2021年11月19日
預防HPV特約：修爺深夜會客室 feat. Dr. HUI YIN,試乜都得《預防HPV特約：修爺深夜會客室feat. Dr. HUI YIN》｜試當真,許賢,2021年11月25日
,,,
2022年,,,
德國Emma床褥Ⓡ特約：一百零一夜 feat.燈神豪哥,試乜都得《德國Emma床褥Ⓡ特約：一百零一夜feat.燈神豪哥》｜試當真,吳振忠,2022年3月17日
VÖOST特約：活力治療師,試映劇場《VÖOST特約：活力治療師》｜試當真- YouTube,許賢,2022年4月28日
WooWoo同游王,試乜都得《WooWoo同游王》海洋公園水上樂園全員尖叫！豪哥：驚就有嘅但點都要接受挑戰- YouTube,吳兆麟,2022年4月28日
ANDREX皇冠特約：二廁人生,試映劇場《ANDREX皇冠特約：二廁人生》｜試當真- YouTube,吳兆麟,2022年5月9日
恒生銀行特約：不如我哋一齊...試下...,《恒生銀行特約：不如我哋一齊...試下...》 - YouTube,,2022年5月12日
戰神特約：豪Gor of War之決戰豬文黃昏,試映劇場《戰神特約：豪Gor of War之決戰豬文黃昏》｜試當真- YouTube,吳兆麟,2022年11月28日
"試睇世界盃系列 
試當真xNow TV EP1－EP13",／,梁奕豪,2022年12月
,,,
2023年,,,
試乜都得《OLAY特約：試玩PartyGame 🎉》小薯茄 VS 試當真,試乜都得《OLAY特約：試玩PartyGame 🎉》小薯茄VS 試當真！🏖️沙灘濕身大激戰,梁焯霖,2023年6月19日
葡萄適特約：《點可以令客人開心？》,葡萄適特約：《點可以令客人開心？》 - YouTube,蘇致豪,2023年7月31日
《OK啦喎》Official MV,試映劇場《OK啦喎》Official MV｜試當真,游學修,2023年12月7日
,,,
2024年,,,
《關於我被上司教導成能解決人生難題的美女執事》feat. 渣打銀行,《關於我被上司教導成能解決人生難題的美女執事》feat. 渣打銀行| 試當真,吳兆麟,2024年7月10日
,,,
2025年,,,
《MEGAWA 麻甩卡哇－又大又麻甩的傢伙》第1-5話,試映劇場《 MEGAWA 麻甩卡哇－又大又麻甩的傢伙》第1-5話｜試當真,梁焯霖,2025年2月10日
口試王特別篇｜口臭誰形象損害最小？里安納度、蝙蝠俠、白雪公主？,口試王特別篇｜口臭誰形象損害最小？里安納度、蝙蝠俠、白雪公主？｜游學修蘇致豪潘宗孝趙宗發楊雅文何映俞｜試當真- YouTube,"林衍朗
盧嘉誼",2025年3月14日
《HKU SPACE CC特約：異形太空站》,試映劇場《HKU SPACE CC特約：異形太空站》｜試當真,梁焯霖,2025年7月7日