候選最佳試音片,,導演,出片日期
2020年,,,
魚蛋粉2 LONG STAYCATION,試音片《魚蛋粉2 LONG STAYCATION》｜試當真,許賢,2020年10月27日
咸濕佬的自我修養,試音片《咸濕佬的自我修養》｜試當真,許賢,2020年11月3日
超級平權演員,試音片《超級平權演員》｜試當真,蘇致豪,2020年11月10日
《下一位前度》現場收音版,試音片《下一位前度》現場收音版｜試當真,趙宗發,2020年11月17日
后翼棄糊,試音片《后翼棄糊》｜試當真,游學修,2020年11月24日
英雄難過探熱關,試音片《英雄難過探熱關》｜試當真,趙宗發,2020年12月1日
神打本色,試音片《神打本色》｜試當真,蘇致豪,2020年12月8日
掃毒造星,試音片《掃毒造星》｜試當真,"林家熙
許賢
蘇致豪",2020年12月15日
隔離屋有間隔離屋,試音片《隔離屋有間隔離屋》｜試當真,梁焯霖,2020年12月22日
Cyberpunk2021,試音片《Cyberpunk2021》｜試當真,許賢,2020年12月29日
,,,
2021年,,,
湯告機師,試音片《湯告機師》｜試當真,蘇致豪,2021年1月6日
Locker主演：點嗯?步,試音片《Locker主演：點嗯?步》｜試當真,梁焯霖,2021年1月20日
等我話你GME,試音片《等我話你GME》｜試當真,"潘宗孝
蘇致豪",2021年2月4日
朗豪荒封區大戰,試音片《朗豪荒封區大戰》｜試當真,趙宗發,2021年2月17日
毛捱：試當真的配音世界,試音片《毛捱：試當真的配音世界》,許賢,2021年3月3日
新聞片：試當真360p首播 引起觀眾恐慌,試音片《新聞片：試當真360p首播 引起觀眾恐慌》｜試當真,倪安慈,2021年3月18日
拆彈專家3：製作特輯,試音片《拆彈專家3：製作特輯》｜試當真,游學修,2021年3月31日
DSE力壓大王,試音片《DSE力壓大王》｜試當真,蘇致豪,2021年4月14日
年輕得碰著誰亦能話今年三十歲,試音片《年輕得碰著誰亦能話今年三十歲》｜試當真,許賢,2021年4月28日
黃牛公主,試音片《黃牛公主》｜試當真,盧嘉誼,2021年5月12日
水行俠超大汗,試音片《水行俠超大汗》｜試當真,潘宗孝,2021年5月26日
無力感你想點？,試音片《無力感你想點？》｜試當真,許賢,2021年6月9日
日本粗口的誕生,試音片《日本粗口的誕生》｜試當真,潘宗孝,2021年6月23日
忍界大戰疫,試音片《忍界大戰疫》｜試當真,許賢,2021年7月7日
放榜撞正謝師宴,試音片《放榜撞正謝師宴》｜試當真,"趙宗發
盧嘉誼",2021年7月20日
謎語人4（真人版2021）,試音片《謎語人4》（真人版2021）｜試當真,Dominic Tsang,2021年8月18日
《Dear Jane - 人類不宜飛行 Grounded》現場收音版,試音片《Dear Jane - 人類不宜飛行Grounded》現場收音版｜試當真,黃浩然,2021年9月1日
C風暴,試音片《C風暴》｜試當真,蘇致豪,2021年9月15日
我是抄襲家,試音片《我是抄襲家》｜試當真,潘宗孝,2021年9月29日
魷魚無敵估歌仔,試音片《魷魚無敵估歌仔》｜試當真,潘宗孝,2021年10月13日
《DoReMi的煩惱》,／,許賢,2021年11月24日
TONY日本人網店,試音片《TONY日本人網店》｜試當真,許賢,2021年12月8日
JJ,試音片《JJ》｜試當真,"趙宗發
盧嘉誼",2021年12月22日
,,,
2022年,,,
美國校長：就算我搞大晒全世界嘅女人，咁又點？,試音片X 編劇試當真｜《美國校長：就算我搞大晒全世界嘅女人，咁又點？》 - YouTube,"吳兆麟
趙宗發
盧嘉誼",2022年1月5日
哈姆太郎最終回,試音片《哈姆太郎最終回》｜試當真,許賢,2022年1月19日
以你的賀年歌呼喚我,試音片《以你的賀年歌呼喚我》｜試當真,"趙宗發
盧嘉誼",2022年2月2日
狼人殺十二人局,試音片《狼人殺十二人局》｜試當真,梁焯霖,2022年2月16日
《你知唔知石頭係有生命㗎？》現場收音版 ,試音片《你知唔知石頭係有生命㗎？》現場收音版｜試當真,黃浩然,2022年3月2日
你永遠叫不醒裝修的人,試音片《你永遠叫不醒裝修的人》 ｜試當真,"許賢
趙宗發
盧嘉誼",2022年3月30日
Breaking Black,試音片《Breaking Black》 ｜試當真,倪安慈,2022年4月13日
全職讀者 READERxREADER,／,"林衍朗
唐浩然",2022年5月11日
抽水得得B,試音片《抽水得得B》 ｜試當真- YouTube,蘇致豪,2022年5月25日
YouTuber的自我修養 ft. 小麻うまる malojam,試音片《YouTuber的自我修養ft. 小麻うまるmalojam》 ｜試當真,小麻,2022年6月8日
試問最佳新演員,試音片X 香港電影金像獎《試問最佳新演員》｜ft.王丹妮.柯煒林.梁仲恆｜試當真- YouTube,吳兆麟,2022年7月8日
殺出個提名,試音片《殺出個提名》 ｜試當真,黃浩然,2022年7月20日
機動戰士 Gundam U,試音片《機動戰士Gundam U》 ｜試當真,"林衍朗
唐浩然",2022年8月10日
商業爆谷片,試音片《商業爆谷片》｜試當真,潘宗孝,2022年9月14日
Christmas Gift,試音片《Christmas Gift》｜試當真,潘宗孝,2022年12月23日
赤壁之決戰聖誕,試音片《赤壁之決戰聖誕》 ｜試當真,"許賢
趙宗發
盧嘉誼",2022年12月24日
,,,
2023年,,,
我的訴求就是想下班、沒有其他,試音片《我的訴求就是想下班、沒有其他》｜試當真,"林衍朗
唐浩然",2023年1月6日
毒舌大眾,試音片《毒舌大眾》｜試當真,趙宗發,2023年1月18日
買場備戰經濟學（DSE必看！）,試音片《買場備戰經濟學（DSE必看！）》| 試當真,許賢,2023年2月1日
情人節送螺旋槳做禮物,試音片《情人節送螺旋槳做禮物》| 試當真,盧嘉誼,2023年2月14日
痴漢斯,試音片《痴漢斯》| 試當真,林衍朗,2023年2月15日
賣慘世界,試音片《賣慘世界》｜試當真,吳兆麟,2023年3月1日
頭文字Delivery,試音片《頭文字Delivery》｜試當真,盧嘉誼,2023年3月15日
今際之國的阿慈ASMR,試音片《今際之國的阿慈ASMR》｜試當真,游學修,2023年3月29日
消費倦,試音片《消費倦》｜試當真,陳光洪,2023年4月28日
神探大戰2點可以冇Locker？,試音片《神探大戰2點可以冇Locker？》｜試當真,吳兆麟,2023年5月17日
我推的泰妹,試音片《我推的泰妹》｜試當真,黃浩然,2023年6月7日
《今晚的基乃我》【二泊三日(空耳)】原唱：N9,試音片《今晚的基乃我》【二泊三日(空耳)】原唱：N9｜試當真,陳穎賢,2023年7月11日
Juno搞旺工廈！殭屍夜繽紛！,試音片《Juno搞旺工廈！殭屍夜繽紛！》｜試當真,余鋒,2023年9月7日
編劇試當真 x 試乜都得動畫《再約啦》,編劇試當真x 試乜都得動畫《再約啦》,陳穎賢,2023年9月14日
22世紀詐騙網絡,試音片《22世紀詐騙網絡》 ｜試當真,盧嘉誼,2023年10月12日
,,,
2024年,,,
周處都是北上消費的人,試音片《周處都是北上消費的人》｜試當真,盧嘉誼,2024年4月1日
九龍城寨2,九龍城寨2,蘇致豪,2024年5月13日
公開試音片｜阿康「駁」盡無悔做John Wick,公開試音片｜阿康「駁」盡無悔做John Wick｜試當真- YouTube,盧嘉誼,2024年7月9日
唔准離婚,唔准離婚,蘇致豪,2024年7月23日
,,,
2025年,,,
風雲：雄霸天下人意見,試音片《風雲：雄霸天下人意見》｜試當真,"林衍朗
盧嘉誼
蘇致豪",2025年4月24日
"國際人拳大賽：葉問泰臣打擂台！
一秒拳王激戰拼命三郎！",試音片《國際人拳大賽：葉問泰臣打擂台！一秒拳王激戰拼命三郎！》｜試當真！,"許賢
趙宗發",2025年6月23日